"FOR 2008 Code","FOR 2008 Name"
"100709","Nanomedicine"
"100710","Nanometrology"
"100711","Nanophotonics"
"100712","Nanoscale Characterisation"
"100713","Nanotoxicology, Health and Safety"
"100799","Nanotechnology not elsewhere classified"
"109999","Technology not elsewhere classified"
"110101","Medical Biochemistry: Amino Acids and Metabolites"
"110102","Medical Biochemistry: Carbohydrates"
"110103","Medical Biochemistry: Inorganic Elements and Compounds"
"110104","Medical Biochemistry: Lipids "
"110105","Medical Biochemistry: Nucleic Acids"
"110106","Medical Biochemistry: Proteins and Peptides (incl. Medical Proteomics)"
"110107","Metabolic Medicine"
"110199","Medical Biochemistry and Metabolomics not elsewhere classified"
"110201","Cardiology (incl. Cardiovascular Diseases)"
"110202","Haematology"
"110203","Respiratory Diseases "
"110299","Cardiorespiratory Medicine and Haematology not elsewhere classified"
"110301","Anaesthesiology"
"110302","Clinical Chemistry (diagnostics)"
"110303","Clinical Microbiology"
"110304","Dermatology"
"110305","Emergency Medicine"
"110306","Endocrinology"
"110307","Gastroenterology and Hepatology"
"110308","Geriatrics and Gerontology "
"110309","Infectious Diseases"
"110310","Intensive Care "
"110311","Medical Genetics (excl. Cancer Genetics)"
"110312","Nephrology and Urology "
"110313","Nuclear Medicine"
"110314","Orthopaedics "
"110315","Otorhinolaryngology"
"110316","Pathology (excl. Oral Pathology)"
"110317","Physiotherapy"
"110318","Podiatry"
"110319","Psychiatry (incl. Psychotherapy) "
"110320","Radiology and Organ Imaging"
"110321","Rehabilitation and Therapy (excl. Physiotherapy)"
"110322","Rheumatology and Arthritis "
"110323","Surgery"
"110324","Venereology"
"110399","Clinical Sciences not elsewhere classified"
"110401","Chiropractic "
"110402","Naturopathy"
"110403","Traditional Aboriginal and Torres Strait Islander Medicine and Treatments"
"110404","Traditional Chinese Medicine and Treatments "
"110405","Traditional Māori Medicine and Treatments"
"110499","Complementary and Alternative Medicine not elsewhere classified"
"110501","Dental Materials and Equipment"
"110502","Dental Therapeutics, Pharmacology and Toxicology "
"110503","Endodontics"
"110504","Oral and Maxillofacial Surgery "
"110505","Oral Medicine and Pathology"
"110506","Orthodontics and Dentofacial Orthopaedics"
"110507","Paedodontics"
"110508","Periodontics"
"110509","Special Needs Dentistry"
"110599","Dentistry not elsewhere classified "
"110601","Biomechanics "
"110602","Exercise Physiology"
"110603","Motor Control"
"110604","Sports Medicine"
"110699","Human Movement and Sports Science not elsewhere classified"
"110701","Allergy"
"110702","Applied Immunology (incl. Antibody Engineering, Xenotransplantation and T-cell Therapies)"
"110703","Autoimmunity "
"110704","Cellular Immunology"
"110705","Humoural Immunology and Immunochemistry"
"110706","Immunogenetics (incl. Genetic Immunology)"
"110707","Innate Immunity"
"110708","Transplantation Immunology "
"110709","Tumour Immunology "
"110799","Immunology not elsewhere classified"
"110801","Medical Bacteriology "
"110802","Medical Infection Agents (incl. Prions)"
"110803","Medical Parasitology "
"110804","Medical Virology "
"110899","Medical Microbiology not elsewhere classified"
"110901","Autonomic Nervous System "
"110902","Cellular Nervous System"
"110903","Central Nervous System "
"110904","Neurology and Neuromuscular Diseases"
"110905","Peripheral Nervous System"
"110906","Sensory Systems"
"110999","Neurosciences not elsewhere classified"
"111001","Aged Care Nursing"
"111002","Clinical Nursing: Primary (Preventative) "
"111003","Clinical Nursing: Secondary (Acute Care)"
"111004","Clinical Nursing: Tertiary (Rehabilitative)"
"111005","Mental Health Nursing"
"111006","Midwifery"
"111099","Nursing not elsewhere classified "
"111101","Clinical and Sports Nutrition"
"111102","Dietetics and Nutrigenomics"
"111103","Nutritional Physiology"
"111104","Public Nutrition Intervention"
"111199","Nutrition and Dietetics not elsewhere classified"
"111201","Cancer Cell Biology"
"111202","Cancer Diagnosis"
"111203","Cancer Genetics"
"111204","Cancer Therapy (excl. Chemotherapy and Radiation Therapy)"
"111205","Chemotherapy"
"111206","Haematological Tumours"
"111207","Molecular Targets"
"111208","Radiation Therapy"
"111209","Solid Tumours"
"111299","Oncology and Carcinogenesis not elsewhere classified"
"111301","Ophthalmology"
"111302","Optical Technology "
"111303","Vision Science"
"111399","Ophthalmology and Optometry not elsewhere classified"
"111401","Foetal Development and Medicine"
"111402","Obstetrics and Gynaecology "
"111403","Paediatrics"
"111404","Reproduction "
"111499","Paediatrics and Reproductive Medicine not elsewhere classified"
"111501","Basic Pharmacology "
"111502","Clinical Pharmacology and Therapeutics"
"111503","Clinical Pharmacy and Pharmacy Practice"
"111504","Pharmaceutical Sciences"
"111505","Pharmacogenomics"
"111506","Toxicology (incl. Clinical Toxicology) "
"111599","Pharmacology and Pharmaceutical Sciences not elsewhere classified"
"111601","Cell Physiology"
"111602","Human Biophysics "
"111603","Systems Physiology "
"111699","Medical Physiology not elsewhere classified"
"111701","Aboriginal and Torres Strait Islander Health"
"111702","Aged Health Care"
"111703","Care for Disabled"
"111704","Community Child Health "
"111705","Environmental and Occupational Health and Safety"
"111706","Epidemiology "
"111707","Family Care"
"111708","Health and Community Services"
"111709","Health Care Administration "
"111710","Health Counselling "
"111711","Health Information Systems (incl. Surveillance)"
"111712","Health Promotion "
"111713","Māori Health"
"111714","Mental Health"
"111715","Pacific Peoples Health"
"111716","Preventive Medicine"
"111717","Primary Health Care"
"111718","Residential Client Care"
"111799","Public Health and Health Services not elsewhere classified"
"119999","Medical and Health Sciences not elsewhere classified"
"120101","Architectural Design"
"120102","Architectural Heritage and Conservation"
"120103","Architectural History and Theory"
"120104","Architectural Science and Technology (incl. Acoustics, Lighting, Structure and Ecologically Sustainable Design)"
"120105","Architecture Management"
"120106","Interior Design"
"120107","Landscape Architecture"
"120199","Architecture not elsewhere classified"
"120201","Building Construction Management and Project Planning"
"120202","Building Science and Techniques"
"120203","Quantity Surveying"
"120299","Building not elsewhere classified"
"120301","Design History and Theory"
"120302","Design Innovation"
"120303","Design Management and Studio and Professional Practice"
"120304","Digital and Interaction Design"
"120305","Industrial Design"
"120306","Textile and Fashion Design"
"120307","Visual Communication Design (incl. Graphic Design)"
"120399","Design Practice and Management not elsewhere classified"
"120401","Engineering Design Empirical Studies"
"120402","Engineering Design Knowledge"
"120403","Engineering Design Methods"
"120404","Engineering Systems Design"
"120405","Models of Engineering Design"
"120499","Engineering Design not elsewhere classified"
"120501","Community Planning"
"120502","History and Theory of the Built Environment (excl. Architecture)"
"120503","Housing Markets, Development, Management"
"120504","Land Use and Environmental Planning"
"120505","Regional Analysis and Development"
"120506","Transport Planning"
"120507","Urban Analysis and Development"
"120508","Urban Design"
"120599","Urban and Regional Planning not elsewhere classified"
"129999","Built Environment and Design not elsewhere classified"
"130101","Continuing and Community Education"
"130102","Early Childhood Education (excl. Māori)"
"130103","Higher Education"
"130104","Kura Kaupapa Māori (Māori Primary Education) "
"130105","Primary Education (excl. Māori)"
"130106","Secondary Education"
"130107","Te Whāriki (Māori Early Childhood Education)"
"130108","Technical, Further and Workplace Education"
"130199","Education Systems not elsewhere classified"
"130201","Creative Arts, Media and Communication Curriculum and Pedagogy"
"130202","Curriculum and Pedagogy Theory and Development"
"130203","Economics, Business and Management Curriculum and Pedagogy"
"130204","English and Literacy Curriculum and Pedagogy (excl. LOTE, ESL and TESOL)"
"130205","Humanities and Social Sciences Curriculum and Pedagogy (excl. Economics, Business and Management)"
"130206","Kōhanga Reo (Māori Language Curriculum and Pedagogy)"
"130207","LOTE, ESL and TESOL Curriculum and Pedagogy (excl. Māori)"
"130208","Mathematics and Numeracy Curriculum and Pedagogy"
"130209","Medicine, Nursing and Health Curriculum and Pedagogy"
"130210","Physical Education and Development Curriculum and Pedagogy"
"130211","Religion Curriculum and Pedagogy"
"130212","Science, Technology and Engineering Curriculum and Pedagogy"
"130213","Vocational Education and Training Curriculum and Pedagogy"
"130299","Curriculum and Pedagogy not elsewhere classified"
"130301","Aboriginal and Torres Strait Islander Education"
"130302","Comparative and Cross-Cultural Education"
"130303","Education Assessment and Evaluation"
"130304","Educational Administration, Management and Leadership"
"130305","Educational Counselling"
"130306","Educational Technology and Computing"
"130307","Ethnic Education (excl. Aboriginal and Torres Strait Islander, Māori and Pacific Peoples)"
"130308","Gender, Sexuality and Education"
"130309","Learning Sciences"
"130310","Māori Education (excl. Early Childhood and Primary Education)"
"130311","Pacific Peoples Education"
"130312","Special Education and Disability"
"130313","Teacher Education and Professional Development of Educators"
"130399","Specialist Studies in Education not elsewhere classified"
"139999","Education not elsewhere classified"
"140101","History of Economic Thought"
"140102","Macroeconomic Theory "
"140103","Mathematical Economics "
"140104","Microeconomic Theory "
"140199","Economic Theory not elsewhere classified "
"140201","Agricultural Economics "
"140202","Economic Development and Growth"
"140203","Economic History"
"140204","Economics of Education "
"140205","Environment and Resource Economics "
"140206","Experimental Economics"
"140207","Financial Economics"
"140208","Health Economics "
"140209","Industry Economics and Industrial Organisation "
"140210","International Economics and International Finance"
"140211","Labour Economics "
"140212","Macroeconomics (incl. Monetary and Fiscal Theory)"
"140213","Public Economics- Public Choice"
"140214","Public Economics- Publically Provided Goods"
"140215","Public Economics- Taxation and Revenue"
"140216","Tourism Economics"
"140217","Transport Economics"
"140218","Urban and Regional Economics "
"140219","Welfare Economics"
"140299","Applied Economics not elsewhere classified "
"140301","Cross-Sectional Analysis "
"140302","Econometric and Statistical Methods"
"140303","Economic Models and Forecasting"
"140304","Panel Data Analysis"
"140305","Time-Series Analysis "
"140399","Econometrics not elsewhere classified"
"149901","Comparative Economic Systems "
"149902","Ecological Economics"
"149903","Heterodox Economics"
"149999","Economics not elsewhere classified "
"150101","Accounting Theory and Standards"
"150102","Auditing and Accountability"
"150103","Financial Accounting "
"150104","International Accounting "
"150105","Management Accounting"
"150106","Sustainability Accounting and Reporting"
"150107","Taxation Accounting "
"150199","Accounting, Auditing and Accountability not elsewhere classified"
"150201","Finance"
"150202","Financial Econometrics "
"150203","Financial Institutions (incl. Banking) "
"150204","Insurance Studies"
"150205","Investment and Risk Management"
"150299","Banking, Finance and Investment not elsewhere classified"
"150301","Business Information Management (incl. Records, Knowledge and Information Management, and Intelligence)"
"150302","Business Information Systems"
"150303","Corporate Governance and Stakeholder Engagement"
"150304","Entrepreneurship"
"150305","Human Resources Management "
"150306","Industrial Relations "
"150307","Innovation and Technology Management "
"150308","International Business "
"150309","Logistics and Supply Chain Management"
"150310","Organisation and Management Theory"
"150311","Organisational Behaviour"
"150312","Organisational Planning and Management "
"150313","Quality Management "
"150314","Small Business Management"
"150399","Business and Management not elsewhere classified"
"150401","Food and Hospitality Services"
"150402","Hospitality Management "
"150403","Real Estate and Valuation Services"
"150404","Sport and Leisure Management"
"150499","Commercial Services not elsewhere classified"
"150501","Consumer-Oriented Product or Service Development"
"150502","Marketing Communications"
"150503","Marketing Management (incl. Strategy and Customer Relations)"
"150504","Marketing Measurement"
"150505","Marketing Research Methodology"
"150506","Marketing Theory"
"150507","Pricing (incl. Consumer Value Estimation)"
"150599","Marketing not elsewhere classified"
"150601","Impacts of Tourism "
"150602","Tourism Forecasting"
"150603","Tourism Management "
"150604","Tourism Marketing"
"150605","Tourism Resource Appraisal "
"150606","Tourist Behaviour and Visitor Experience"
"150699","Tourism not elsewhere classified "
"150701","Air Transportation and Freight Services"
"150702","Rail Transportation and Freight Services"
"150703","Road Transportation and Freight Services"
"150799","Transportation and Freight Services not elsewhere classified"
"159999","Commerce, Management, Tourism and Services not elsewhere classified"
"160101","Anthropology of Development"
"160102","Biological (Physical) Anthropology "
"160103","Linguistic Anthropology"
"160104","Social and Cultural Anthropology "
"160199","Anthropology not elsewhere classified"
"160201","Causes and Prevention of Crime"
"160202","Correctional Theory, Offender Treatment and Rehabilitation"
"160203","Courts and Sentencing"
"160204","Criminological Theories"
"160205","Police Administration, Procedures and Practice "
"160206","Private Policing and Security Services "
"160299","Criminology not elsewhere classified "
"160301","Family and Household Studies "
"160302","Fertility"
"160303","Migration"
"160304","Mortality"
"160305","Population Trends and Policies "
"160399","Demography not elsewhere classified"
"160401","Economic Geography "
"160402","Recreation, Leisure and Tourism Geography "
"160403","Social and Cultural Geography"
"160404","Urban and Regional Studies (excl. Planning)"
"160499","Human Geography not elsewhere classified "
"160501","Aboriginal and Torres Strait Islander Policy"
"160502","Arts and Cultural Policy"
"160503","Communications and Media Policy"
"160504","Crime Policy"
"160505","Economic Development Policy"
"160506","Education Policy"
"160507","Environment Policy"
"160508","Health Policy"
"160509","Public Administration"
"160510","Public Policy"
"160511","Research, Science and Technology Policy"
"160512","Social Policy"
"160513","Tourism Policy"
"160514","Urban Policy"
"160599","Policy and Administration not elsewhere classified"
"160601","Australian Government and Politics"
"160602","Citizenship"
"160603","Comparative Government and Politics"
"160604","Defence Studies"
"160605","Environmental Politics"
"160606","Government and Politics of Asia and the Pacific"
"160607","International Relations"
"160608","New Zealand Government and Politics"
"160609","Political Theory and Political Philosophy"
"160699","Political Science not elsewhere classified"
"160701","Clinical Social Work Practice"
"160702","Counselling, Welfare and Community Services"
"160703","Social Program Evaluation"
"160799","Social Work not elsewhere classified "
"160801","Applied Sociology, Program Evaluation and Social Impact Assessment"
"160802","Environmental Sociology"
"160803","Race and Ethnic Relations"
"160804","Rural Sociology"
"160805","Social Change"
"160806","Social Theory"
"160807","Sociological Methodology and Research Methods"
"160808","Sociology and Social Studies of Science and Technology "
"160809","Sociology of Education "
"160810","Urban Sociology and Community Studies"
"160899","Sociology not elsewhere classified "
"169901","Gender Specific Studies"
"169902","Studies of Aboriginal and Torres Strait Islander Society"
"169903","Studies of Asian Society"
"169904","Studies of Māori Society"
"169905","Studies of Pacific Peoples' Societies"
"169999","Studies in Human Society not elsewhere classified"
"170101","Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)"
"170102","Developmental Psychology and Ageing"
"170103","Educational Psychology"
"170104","Forensic Psychology"
"170105","Gender Psychology"
"170106","Health, Clinical and Counselling Psychology"
"170107","Industrial and Organisational Psychology "
"170108","Kaupapa Māori Psychology"
"170109","Personality, Abilities and Assessment"
"170110","Psychological Methodology, Design and Analysis "
"170111","Psychology of Religion "
"170112","Sensory Processes, Perception and Performance"
"170113","Social and Community Psychology"
"170114","Sport and Exercise Psychology"
"170199","Psychology not elsewhere classified"
"170201","Computer Perception, Memory and Attention"
"170202","Decision Making"
"170203","Knowledge Representation and Machine Learning"
"170204","Linguistic Processes (incl. Speech Production and Comprehension) "
"170205","Neurocognitive Patterns and Neural Networks"
"170299","Cognitive Sciences not elsewhere classified "
"179999","Psychology and Cognitive Sciences not elsewhere classified"
"180101","Aboriginal and Torres Strait Islander Law "
"180102","Access to Justice"
"180103","Administrative Law "
"180104","Civil Law and Procedure"
"180105","Commercial and Contract Law"
"180106","Comparative Law"
"180107","Conflict of Laws (Private International Law)"
"180108","Constitutional Law "
"180109","Corporations and Associations Law"
"180110","Criminal Law and Procedure"
"180111","Environmental and Natural Resources Law"
"180112","Equity and Trusts Law"
"180113","Family Law "
"180114","Human Rights Law"
"180115","Intellectual Property Law"
"180116","International Law (excl. International Trade Law)"
"180117","International Trade Law"
"180118","Labour Law "
"180119","Law and Society"
"180120","Legal Institutions (incl. Courts and Justice Systems)"
"180121","Legal Practice, Lawyering and the Legal Profession"
"180122","Legal Theory, Jurisprudence and Legal Interpretation"
"180123","Litigation, Adjudication and Dispute Resolution"
"180124","Property Law (excl. Intellectual Property Law)"
"180125","Taxation Law "
"180126","Tort Law "
"180199","Law not elsewhere classified "
"180201","Nga Tikanga Māori (Māori Customary Law)"
"180202","Te Māori Whakakaere Rauemi (Māori Resource Law)"
"180203","Te Tiriti O Waitangi (The Treaty of Waitangi)"
"180204","Te Ture Whenua (Māori Land Law)"
"180299","Māori Law not elsewhere classified "
"189999","Law and Legal Studies not elsewhere classified"
"190101","Art Criticism"
"190102","Art History"
"190103","Art Theory"
"190104","Visual Cultures"
"190199","Art Theory and Criticism not elsewhere classified"
"190201","Cinema Studies "
"190202","Computer Gaming and Animation"
"190203","Electronic Media Art"
"190204","Film and Television"
"190205","Interactive Media"
"190299","Film, Television and Digital Media not elsewhere classified"
"190301","Journalism Studies"
"190302","Professional Writing"
"190303","Technical Writing"
"190399","Journalism and Professional Writing not elsewhere classified"
"190401","Aboriginal and Torres Strait Islander Performing Arts"
"190402","Creative Writing (incl. Playwriting)"
"190403","Dance"
"190404","Drama, Theatre and Performance Studies"
"190405","Māori Performing Arts"
"190406","Music Composition"
"190407","Music Performance"
"190408","Music Therapy"
"190409","Musicology and Ethnomusicology"
"190410","Pacific Peoples Performing Arts"
"190499","Performing Arts and Creative Writing not elsewhere classified "
"190501","Crafts "
"190502","Fine Arts (incl. Sculpture and Painting) "
"190503","Lens-based Practice"
"190504","Performance and Installation Art"
"190599","Visual Arts and Crafts not elsewhere classified"
"199999","Studies in Creative Arts and Writing not elsewhere classified"
"200101","Communication Studies"
"200102","Communication Technology and Digital Media Studies"
"200103","International and Development Communication"
"200104","Media Studies"
"200105","Organisational, Interpersonal and Intercultural Communication"
"200199","Communication and Media Studies not elsewhere classified"
"200201","Aboriginal and Torres Strait Islander Cultural Studies"
"200202","Asian Cultural Studies"
"200203","Consumption and Everyday Life"
"200204","Cultural Theory"
"200205","Culture, Gender, Sexuality"
"200206","Globalisation and Culture"
"200207","Māori Cultural Studies"
"200208","Migrant Cultural Studies"
"200209","Multicultural, Intercultural and Cross-cultural Studies"
"200210","Pacific Cultural Studies"
"200211","Postcolonial Studies"
"200212","Screen and Media Culture"
"200299","Cultural Studies not elsewhere classified"
"200301","Early English Languages"
"200302","English Language"
"200303","English as a Second Language"
"200304","Central and Eastern European Languages (incl. Russian)"
"200305","Latin and Classical Greek Languages"
"200306","French Language"
"200307","German Language"
"200308","Iberian Languages"
"200309","Italian Language"
"200310","Other European Languages"
"200311","Chinese Languages"
"200312","Japanese Language"
"200313","Indonesian Languages"
"200314","South-East Asian Languages (excl. Indonesian)"
"200315","Indian Languages"
"200316","Korean Language"
"200317","Other Asian Languages (excl. South-East Asian)"
"200318","Middle Eastern Languages"
"200319","Aboriginal and Torres Strait Islander Languages"
"200320","Pacific Languages"
"200321","Te Reo Māori (Māori Language)"
"200322","Comparative Language Studies"
"200323","Translation and Interpretation Studies"
"200399","Language Studies not elsewhere classified"
"200401","Applied Linguistics and Educational Linguistics"
"200402","Computational Linguistics"
"200403","Discourse and Pragmatics "
"200404","Laboratory Phonetics and Speech Science"
"200405","Language in Culture and Society (Sociolinguistics) "
"200406","Language in Time and Space (incl. Historical Linguistics, Dialectology)"
"200407","Lexicography "
"200408","Linguistic Structures (incl. Grammar, Phonology, Lexicon, Semantics)"
"200499","Linguistics not elsewhere classified "
"200501","Aboriginal and Torres Strait Islander Literature"
"200502","Australian Literature (excl. Aboriginal and Torres Strait Islander Literature)"
"200503","British and Irish Literature"
"200504","Māori Literature"
"200505","New Zealand Literature (excl. Māori Literature)"
"200506","North American Literature"
"200507","Pacific Literature"
"200508","Other Literatures in English"
"200509","Central and Eastern European Literature (incl. Russian)"
"200510","Latin and Classical Greek Literature"
"200511","Literature in French"
"200512","Literature in German"
"200513","Literature in Italian"
"200514","Literature in Spanish and Portuguese"
"200515","Other European Literature"
"200516","Indonesian Literature"
"200517","Literature in Chinese"
"200518","Literature in Japanese"
"200519","South-East Asian Literature (excl. Indonesian)"
"200520","Indian Literature"
"200521","Korean Literature"
"200522","Other Asian Literature (excl. South-East Asian)"
"200523","Middle Eastern Literature"
"200524","Comparative Literature Studies"
"200525","Literary Theory"
"200526","Stylistics and Textual Analysis"
"200599","Literary Studies not elsewhere classified"
"209999","Language, Communication and Culture not elsewhere classified"
"210101","Aboriginal and Torres Strait Islander Archaeology"
"210102","Archaeological Science "
"210103","Archaeology of Asia, Africa and the Americas "
"210104","Archaeology of Australia (excl. Aboriginal and Torres Strait Islander)"
"210105","Archaeology of Europe, the Mediterranean and the Levant"
"210106","Archaeology of New Guinea and Pacific Islands (excl. New Zealand)"
"210107","Archaeology of New Zealand (excl. Māori)"
"210108","Historical Archaeology (incl. Industrial Archaeology)"
"210109","Māori Archaeology"
"210110","Maritime Archaeology "
"210199","Archaeology not elsewhere classified"
"210201","Archival, Repository and Related Studies"
"210202","Heritage and Cultural Conservation"
"210203","Materials Conservation"
"210204","Museum Studies"
"210299","Curatorial and Related Studies not elsewhere classified"
"210301","Aboriginal and Torres Strait Islander History"
"210302","Asian History"
"210303","Australian History (excl. Aboriginal and Torres Strait Islander History)"
"210304","Biography"
"210305","British History"
"210306","Classical Greek and Roman History"
"210307","European History (excl. British, Classical Greek and Roman)"
"210308","Latin American History"
"210309","Māori History"
"210310","Middle Eastern and African History"
"210311","New Zealand History"
"210312","North American History"
"210313","Pacific History (excl. New Zealand and Māori)"
"210399","Historical Studies not elsewhere classified"
"219999","History and Archaeology not elsewhere classified"
"220101","Bioethics (human and animal)"
"220102","Business Ethics"
"220103","Ethical Use of New Technology (e.g. Nanotechnology, Biotechnology)"
"220104","Human Rights and Justice Issues"
"220105","Legal Ethics"
"220106","Medical Ethics"
"220107","Professional Ethics (incl. police and research ethics)"
"220199","Applied Ethics not elsewhere classified"
"220201","Business and Labour History"
"220202","History and Philosophy of Education"
"220203","History and Philosophy of Engineering and Technology"
"220204","History and Philosophy of Law and Justice"
"220205","History and Philosophy of Medicine "
"220206","History and Philosophy of Science (incl. Non-historical Philosophy of Science)"
"220207","History and Philosophy of the Humanities"
"220208","History and Philosophy of the Social Sciences"
"220209","History of Ideas"
"220210","History of Philosophy"
"220299","History and Philosophy of Specific Fields not elsewhere classified"
"220301","Aesthetics "
"220302","Decision Theory"
"220303","Environmental Philosophy"
"220304","Epistemology "
"220305","Ethical Theory "
"220306","Feminist Theory"
"220307","Hermeneutic and Critical Theory "
"220308","Logic"
"220309","Metaphysics"
"220310","Phenomenology"
"220311","Philosophical Psychology (incl. Moral Psychology and Philosophy of Action)"
"220312","Philosophy of Cognition"
"220313","Philosophy of Language "
"220314","Philosophy of Mind (excl. Cognition)"
"220315","Philosophy of Religion "
"220316","Philosophy of Specific Cultures (incl. Comparative Philosophy)"
"220317","Poststructuralism"
"220318","Psychoanalytic Philosophy"
"220319","Social Philosophy"
"220399","Philosophy not elsewhere classified"
"220401","Christian Studies (incl. Biblical Studies and Church History)"
"220402","Comparative Religious Studies"
"220403","Islamic Studies"
"220404","Jewish Studies "
"220405","Religion and Society "
"220406","Studies in Eastern Religious Traditions"
"220407","Studies in Religious Traditions (excl. Eastern, Jewish, Christian and Islamic Traditions)"
"220499","Religion and Religious Studies not elsewhere classified"
"229999","Philosophy and Religious Studies not elsewhere classified"
